正面,背面,标签
划分 / 分配 / 指配 的区别是什么？,"划分：将频段列入国家频率划分表（国家层面大表）
分配：将频率规定由某部门在某区域使用
指配：将频率批准给具体电台使用",易混概念
辐射 vs 发射 的本质区别？,"辐射(Radiation)：任何源的能量流以无线电波形式向外发出（包括闪电）
发射(Emission)：必须由无线电发信电台产生的辐射或辐射产物",易混概念
主要业务 vs 次要业务：次要业务有哪些义务？,"1. 不得对主要业务产生有害干扰
2. 不得要求保护不受主要业务的有害干扰
3. 可以要求保护不受同一业务/其他次要业务的有害干扰",易混概念
A类业余电台的频段和功率限制？,"30-3000MHz，功率 ≤25W
B类：30MHz以下≤100W，以上≤25W
C类：30MHz以下≤1000W，以上≤25W",易混概念
业余中继台 vs 业余信标台？,"中继台：接收+放大转发，双向，扩大通联范围
信标台：发射信标信号，单发，验证电波传播",易混概念
呼号使用的三个时间点？,"1. 通信建立时发送呼号
2. 通信结束时发送呼号
3. 通信过程中每10分钟至少发送一次",易混概念
终止使用业余电台后的注销流程？,"1. 向作出许可决定的无线电管理机构办理注销
2. 交回执照
3. 自注销之日起60个工作日内拆除设备及天线",易混概念
频率容限标准？,"FM：±2kHz
CW/SSB：±200Hz
发射带宽：FM < 20kHz",易混概念
QRP / QRO / QRS / QRQ / QRT 分别表示？,QRP=降低功率(<5W) | QRO=增加功率 | QRS=请发慢些 | QRQ=请发快些 | QRT=停止发射/关机,易混概念
电离层各层特点？,"D层(60-90km)：白天存在，吸收电波
E层(90-150km)：可反射VHF(突发E)
F1层(150-200km)：白天存在
F2层(200-400km)：最主要反射层，DX主力",易混概念
波长与频率的速算公式？,"λ(米) = 300 / f(MHz)
f(MHz) = 300 / λ(米)
例：144MHz → 2米 | 7MHz → 40米",易混概念
天线增益单位换算？,"dBi = dBd + 2.15
dBi以理想点源为参考
dBd以半波偶极天线为参考",易混概念
射频辐射安全距离？,"VHF/UHF ≤50W：≥2.5米
VHF/UHF >50W：≥5米
HF ≤50W：≥5米
HF >50W：≥10米",易混概念
常见天线缩写？,DP=偶极 | GP=垂直接地 | YAGI=八木 | LP=对数周期 | BEAM=定向天线,易混概念
常用业余波段频率？,"160m=1.8-2.0MHz | 80m=3.5-3.9MHz | 40m=7.0-7.2MHz
20m=14.0-14.35MHz | 15m=21.0-21.45MHz | 10m=28.0-29.7MHz
6m=50-54MHz | 2m=144-148MHz | 70cm=430-440MHz",易混概念
